city,weather,temperature_c,humidity_percent,pressure_hpa,energy_kwh,co2
Chicago,Sunny,18.5,62,1014,24.7,42.1
Denver,Sunny,22.1,41,1018,19.3,35.4
Seattle,Rain,15.8,78,1011,21.5,38.7
Austin,Sunny,29.4,55,1008,31.2,56.8
Boston,Cloudy,16.2,68,1016,23.1,44.9
Phoenix,Sunny,34.7,27,1005,35.8,63.5
Portland,Rain,17.3,74,1012,22.4,40.2
Miami,Cloudy,31.1,79,1010,33.6,59.7
Minneapolis,Snow,12.9,58,1019,20.8,33.6
Atlanta,Cloudy,25.6,64,1013,27.9,49.8
Chicago,Rain,19.2,70,1015,26.1,45.3
Denver,Cloudy,21.0,45,1017,20.4,36.9
Seattle,Rain,14.9,82,1010,20.7,37.8
Austin,Sunny,30.2,52,1007,32.5,58.1
Boston,Snow,9.8,66,,18.4,31.7
Phoenix,Sunny,36.1,25,1004,37.2,66.4
Portland,Cloudy,16.7,,1011,21.9,39.5
Miami,Sunny,32.4,77,1009,34.2,
Minneapolis,Snow,11.5,61,1020,19.6,32.8
Atlanta,Rain,24.8,69,1012,28.4,50.7
